INSTNM,SAT25,SAT75
Indiana University-Kokomo,1000,1180
Indiana University-South Bend,980,1190
Indiana University at Bloomington,1160,1380
Indiana University-Northwest,940,1140
Indiana University-Southeast,980,1190
Indiana University-East,1000,1220
Indiana Wesleyan University-Marion,990,1200
University of Notre Dame,1410,1550
Oakland City University,960,1180
Rose-Hulman Institute of Technology,1270,1480
University of Saint Francis-Fort Wayne,960,1150
Saint Mary-of-the-Woods College,975,1120
Saint Mary's College,1055,1265
Saint Elizabeth School of Nursing,860,1050
Trine University,1030,1240
Wabash College,1140,1340
Buena Vista University,963,1140
Central College,1000,1260
Clarke University,900,1120
Cornell College,1155,1405
Dordt University,1050,1290
Drake University,1190,1410
Emmaus Bible College,1100,1240
Faith Baptist Bible College and Theological Seminary,1020,1180
Graceland University-Lamoni,880,1120
Grand View University,920,1080
Grinnell College,1370,1530
Iowa State University,1083,1330
Iowa Wesleyan University,820,1020
University of Iowa,1130,1350
Luther College,1088,1318
University of Northern Iowa,980,1190
Northwestern College,940,1240
Saint Ambrose University,1030,1190
Simpson College,890,1280
Upper Iowa University,855,1065
Wartburg College,973,1198
William Penn University,830,1030
Baker University,970,1130
Benedictine College,1100,1350
Bethany College,810,1015
Bethel College-North Newton,990,1160
Friends University,473,538
University of Kansas,1090,1330
MidAmerica Nazarene University,820,990
Ottawa University-Ottawa,800,1160
Southwestern College,920,1110
Sterling College,996,1166
Wichita State University,983,1220
Alice Lloyd College,760,1140
Bellarmine University,1110,1280
Berea College,1118,1268
Brescia University,920,1190
Centre College,1235,1465
University of the Cumberlands,940,1200
Eastern Kentucky University,950,1180
Kentucky Wesleyan College,920,1140
University of Kentucky,1083,1330
Kentucky Christian University,800,1030
University of Louisville,1050,1270
Midway University,940,1120
Murray State University,960,1200
Northern Kentucky University,983,1210
The Southern Baptist Theological Seminary,1040,1250
Spalding University,930,1100
Transylvania University,1050,1330
Union College,955,1148
Centenary College of Louisiana,1020,1250
Dillard University,960,1120
Grambling State University,822,1040
Louisiana State University-Alexandria,970,1210
Louisiana State University and Agricultural & Mechanical College,1130,1320
Louisiana State University-Shreveport,870,1070
Louisiana College,940,1080
Louisiana Tech University,1070,1280
McNeese State University,990,1170
University of New Orleans,1010,1280
Nicholls State University,1038,1228
University of Louisiana at Monroe,1060,1270
Northwestern State University of Louisiana,920,1120
Southern University and A & M College,840,1015
University of Louisiana at Lafayette,1023,1198
Tulane University of Louisiana,1360,1510
Xavier University of Louisiana,990,1150
Colby College,1400,1530
University of Maine at Farmington,1060,1280
Saint Joseph's College of Maine,1020,1230
University of Southern Maine,995,1230
University of Baltimore,955,1135
Bowie State University,840,1020
Coppin State University,780,1060
Frostburg State University,980,1200
Goucher College,1086,1360
University of Maryland-Baltimore County,1220,1410
University of Maryland at College Park,1330,1510
Morgan State University,850,1090
St. Mary's College of Maryland,1135,1340
St. John's College,1290,1480
Towson University,1040,1220
United States Naval Academy,1200,1420
American International College,940,1110
Amherst College,1370,1550
Babson College,1330,1480
Bay Path University,1018,1205
Bentley University,1240,1413
Boston College,1420,1530
Boston University,1360,1520
Brandeis University,1370,1530
Bridgewater State University,1010,1200
Clark University,1218,1403
Curry College,1083,1165
Eastern Nazarene College,960,1315
Emerson College,1200,1400
Emmanuel College,1150,1280
Fisher College,800,1070
Fitchburg State University,980,1180
Framingham State University,990,1175
Gordon College,1153,1370
Harvard University,1480,1580
College of the Holy Cross,1240,1420
Lasell University,1080,1325
University of Massachusetts-Lowell,1170,1340
University of Massachusetts at Amherst,1250,1460
University of Massachusetts-Boston,1060,1280
MCPHS University,1090,1390
Mount Holyoke College,1300,1510
Nichols College,970,1160
Northeastern University,1430,1550
College of Our Lady of the Elms,1050,1195
Simmons University,1140,1360
Smith College,1370,1530
Springfield College,1110,1320
University of Massachusetts-Dartmouth,1030,1260
Suffolk University,1080,1280
Tufts University,1440,1550
Wellesley College,1400,1540
Wentworth Institute of Technology,1140,1330
Western New England University,1128,1280
Westfield State University,980,1190
Wheaton College (Massachusetts),1160,1360
Worcester State University,1030,1193
Adrian College,940,1150
Andrews University,1050,1300
Aquinas College,1000,1170
Calvin University,1120,1340
Central Michigan University,1010,1220
Cleary University,950,1170
University of Detroit Mercy,1060,1250
Eastern Michigan University,930,1180
Ferris State University,930,1150
Kettering University,1140,1340
Cornerstone University,970,1220
Hillsdale College,1340,1510
Hope College,1100,1330
Kalamazoo College,1160,1380
Lake Superior State University,950,1160
Madonna University,890,1140
Michigan State University,1100,1320
Michigan Technological University,1130,1335
University of Michigan at Ann Arbor,1350,1540
University of Michigan-Flint,1015,1250
Oakland University,970,1230
Olivet College,910,1120
Saginaw Valley State University,960,1170
Wayne State University,1030,1260
Western Michigan University,1000,1220
Augsburg University,1188,1376
Bethel University,1123,1343
Carleton College,1408,1550
Concordia College at Moorhead,1080,1218
Martin Luther College,1080,1250
Hamline University,1170,1280
Macalester College,1340,1515
University of Minnesota-Twin Cities,1310,1490
University of Minnesota at Duluth,1160,1270
Minnesota State University Moorhead,1040,1180
College of Saint Benedict,1110,1220
Saint Johns University,1085,1240
St Olaf College,1240,1430
The College of Saint Scholastica,1110,1310
University of St Thomas,1120,1380
St Catherine University,890,1210
Winona State University,970,1280
Alcorn State University,853,1073
Belhaven University,980,1260
Blue Mountain College,1040,1160
Delta State University,950,1190
Jackson State University,940,980
Millsaps College,1135,1354
University of Mississippi,1025,1225
Mississippi University for Women,850,1180
Mississippi State University,1030,1280
Tougaloo College,790,1090
William Carey University,980,1320
Avila University,933,1160
Calvary University,870,1370
Central Methodist University-College of Liberal Arts and Sciences,908,1118
Cottey College,1030,1120
Culver-Stockton College,970,1080
Drury University,1050,1270
Hannibal-LaGrange University,1070,1317
Lindenwood University,860,1210
Maryville University of Saint Louis,1000,1230
Missouri Baptist University,870,1110
Missouri Southern State University,950,1170
Missouri Valley College,750,1100
University of Missouri-Columbia,1130,1350
University of Missouri-Kansas City,1143,1506
Missouri University of Science and Technology,1290,1460
University of Missouri-St Louis,1020,1300
Truman State University,1093,1290
Northwest Missouri State University,953,1133
College of the Ozarks,1010,1213
Rockhurst University,1083,1288
Saint Louis University,1220,1430
University of Health Sciences and Pharmacy in St. Louis,1110,1240
Southwest Baptist University,1000,1210
Stephens College,1030,1170
Missouri State University-Springfield,1010,1200
Washington University in St Louis,1490,1570
Webster University,1033,1250
Westminster College,880,1160
William Jewell College,1090,1270
Carroll College,1100,1280
University of Providence,1140,1280
Montana Technological University,1090,1290
Montana State University,1070,1300
The University of Montana,1070,1280
Rocky Mountain College,975,1180
Concordia University-Nebraska,1000,1250
Creighton University,1130,1370
University of Nebraska at Kearney,938,1133
Midland University,905,1150
Nebraska Wesleyan University,1040,1290
University of Nebraska-Lincoln,1090,1320
Union College,980,1130
York College,790,1160
University of Nevada-Reno,1060,1270
Sierra Nevada University,920,1200
Dartmouth College,1440,1560
University of New Hampshire-Main  ,1110,1300
Keene State College,970,1170
University of New Hampshire at Manchester,1110,1270
Saint Anselm College,1140,1320
Bloomfield College,817,1064
Caldwell University,1000,1310
Centenary University,990,1170
Felician University,890,1140
Georgian Court University,980,1175
Rowan University,1070,1280
New Jersey City University,890,1140
Kean University,920,1120
Monmouth University,1070,1250
Montclair State University,1010,1210
New Jersey Institute of Technology,1180,1430
Princeton University,1460,1570
Ramapo College of New Jersey,1100,1280
Rider University,1050,1270
Rutgers University-Camden,1040,1230
Rutgers University-New Brunswick,1240,1470
Rutgers University-Newark,1030,1270
Saint Peter's University,970,1150
Seton Hall University,1200,1370
Stevens Institute of Technology,1370,1510
Stockton University,1050,1250
The College of New Jersey,1170,1350
Eastern New Mexico University-Main  ,860,1100
New Mexico Institute of Mining and Technology,1110,1320
New Mexico State University-Main  ,920,1140
Adelphi University,1080,1310
Albany College of Pharmacy and Health Sciences,1170,1390
Alfred University,1070,1300
Barnard College,1425,1550
Canisius College,1050,1250
Cazenovia College,957,1177
Clarkson University,1180,1380
Colgate University,1350,1500
Columbia University in the City of New York,1470,1570
Cornell University,1450,1560
D'Youville College,1030,1225
Dominican College of Blauvelt,993,1123
Fordham University,1300,1480
Hamilton College,1410,1540
Hartwick College,1000,1220
Hilbert College,898,1113
Hobart William Smith Colleges,1170,1370
Hofstra University,1180,1370
Houghton College,1080,1290
Iona College,1060,1260
Jewish Theological Seminary of America,1346,1488
Keuka College,1008,1250
Le Moyne College,1140,1290
Long Island University,1100,1320
Manhattanville College,1020,1230
Marist College,1196,1360
Marymount Manhattan College,1050,1253
Mercy College,910,1190
Molloy College,1110,1320
Mount Saint Mary College,1000,1170
College of Mount Saint Vincent,1000,1230
New York University,1450,1570
Niagara University,1050,1243
New York Institute of Technology,1100,1320
Nyack College,848,1093
Pace University,1120,1310
Pratt Institute-Main,1190,1410
Rensselaer Polytechnic Institute,1360,1520
Roberts Wesleyan College,1020,1250
Rochester Institute of Technology,1270,1450
University of Rochester,1370,1520
St Bonaventure University,1070,1270
St. Francis College,990,1240
St Lawrence University,1220,1400
St. Thomas Aquinas College,1035,1235
Sarah Lawrence College,1260,1470
Skidmore College,1270,1440
St. Joseph's University-New York,1060,1250
Saint John Fisher College,1110,1270
St. John's University-New York,1100,1310
SUNY College of Technology at Canton,1000,1160
